SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/140147,03392019/140147,09/14/2019 21:38:54,942000,70650.0000,101265.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140148,03392019/140148,09/14/2019 21:40:00,128000,9600.0000,13760.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140149,03392019/140149,09/14/2019 21:40:37,313000,23475.0000,33648.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140150,03392019/140150,09/14/2019 21:42:57,289000,21675.0000,31068.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140151,03392019/140151,09/14/2019 21:47:24,1146000,85950.0000,123195.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140152,03392019/140152,09/14/2019 21:49:26,338000,25350.0000,36335.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140153,03392019/140153,09/14/2019 21:53:46,151000,11325.0000,16233.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140154,03392019/140154,09/14/2019 22:03:17,18000,1350.0000,1935.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140155,03392019/140155,09/14/2019 22:03:38,157000,11775.0000,16878.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/130001,03392019/130001,09/13/2019 10:10:43,116000,8700.0000,12470.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130002,03392019/130002,09/13/2019 10:52:07,85000,6375.0000,9138.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130003,03392019/130003,09/13/2019 12:00:43,498000,37350.0000,53535.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130004,03392019/130004,09/13/2019 12:05:00,126000,9450.0000,13545.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130005,03392019/130005,09/13/2019 12:34:52,434000,32550.0000,46655.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130006,03392019/130006,09/13/2019 12:40:47,347000,26025.0000,37303.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130007,03392019/130007,09/13/2019 12:42:05,483000,36225.0000,51923.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130008,03392019/130008,09/13/2019 12:44:42,480000,36000.0000,51600.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130009,03392019/130009,09/13/2019 12:46:54,362000,27150.0000,38915.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130010,03392019/130010,09/13/2019 12:48:28,64000,4800.0000,6880.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130011,03392019/130011,09/13/2019 12:54:41,341000,25575.0000,36658.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130012,03392019/130012,09/13/2019 12:56:47,36000,2700.0000,3870.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130013,03392019/130013,09/13/2019 12:57:25,157000,11775.0000,16878.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130014,03392019/130014,09/13/2019 12:58:32,82000,6150.0000,8815.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130015,03392019/130015,09/13/2019 12:58:59,49000,3675.0000,5268.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130016,03392019/130016,09/13/2019 13:00:11,56000,4200.0000,6020.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130017,03392019/130017,09/13/2019 13:00:59,454000,34050.0000,48805.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130018,03392019/130018,09/13/2019 13:02:45,245000,18375.0000,26338.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130019,03392019/130019,09/13/2019 13:14:42,910000,68250.0000,97825.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130020,03392019/130020,09/13/2019 13:16:08,75000,5625.0000,8063.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130021,03392019/130021,09/13/2019 13:18:00,228000,17100.0000,24510.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130022,03392019/130022,09/13/2019 13:19:02,35000,2625.0000,3763.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130023,03392019/130023,09/13/2019 13:19:19,62000,4650.0000,6665.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130024,03392019/130024,09/13/2019 13:27:41,795000,59625.0000,85463.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130025,03392019/130025,09/13/2019 13:31:25,315000,23625.0000,33863.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130026,03392019/130026,09/13/2019 13:41:42,330000,24750.0000,35475.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130027,03392019/130027,09/13/2019 13:56:31,241000,18075.0000,25908.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130028,03392019/130028,09/13/2019 13:58:54,273000,20475.0000,29348.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130029,03392019/130029,09/13/2019 13:59:44,394000,29550.0000,42355.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
03392019/130030,03392019/130030,09/13/2019 14:05:41,238000,17850.0000,25585.000000,0.0000,2019-09-13,033,[PLB]ST PALEMBANG,8
